column,mean_target_0,mean_target_1,median_target_0,median_target_1,missing_rate_target_0,missing_rate_target_1,mean_diff_high_minus_low,relative_mean_diff
AMT_INCOME_TOTAL,169077.7222658179,165611.76090634443,148500.0,135000.0,0.0,0.0,-3465.961359473469,-0.020499219607562548
AMT_CREDIT,602648.2820019386,557778.527673716,517788.0,497520.0,0.0,0.0,-44869.754328222596,-0.07445429725472653
AMT_ANNUITY,27163.62334880463,26481.744290030212,24876.0,25263.0,4.244992677387632e-05,0.0,-681.8790587744188,-0.025102654753325675
AMT_GOODS_PRICE,542736.7950033459,488972.4125544267,450000.0,450000.0,0.0009091359317405178,0.0008459214501510574,-53764.382448919234,-0.09906161318689989
DAYS_BIRTH,-16138.176397133215,-14884.82807653575,-15877.0,-14282.0,0.0,0.0,1253.3483205974644,0.077663565557513
DAYS_EMPLOYED,-2438.1401333900703,-1814.918800091596,-1691.0,-1230.0,0.18530808034356142,0.12044310171198389,623.2213332984743,0.25561341809829724
EXT_SOURCE_1,0.5114612439214032,0.38696812588236673,0.5174515531911259,0.36167542779464734,0.5610712946520168,0.5950050352467271,-0.12449311803903651,-0.24340674785940866
EXT_SOURCE_2,0.5234786690184224,0.4109349069691116,0.5739046869026359,0.4403806303763837,0.0021507962898763998,0.002094662638469285,-0.11254376204931082,-0.21499206884655342
EXT_SOURCE_3,0.5209689589375609,0.39071659090047944,0.5460231970049609,0.3791004853998145,0.19558096262283947,0.2286807653575025,-0.13025236803708146,-0.2500194412786357
credit_income_ratio,3.963729088910814,3.8874384793176757,3.266653333333333,3.253142857142857,0.0,0.0,-0.07629060959313838,-0.019247180592279613
annuity_income_ratio,0.18053020399477598,0.18548247930508552,0.16228,0.16929411764705882,4.244992677387632e-05,0.0,0.004952275310309534,0.027431838001206924
goods_credit_ratio,0.9025623283251597,0.8793620795395278,0.8938148015731141,0.8732099196646874,0.0009091359317405178,0.0008459214501510574,-0.023200248785631872,-0.02570487162773947
employment_age_ratio,0.15965584882513376,0.12738813809229482,0.1215917258484257,0.09346061506802332,0.18530808034356142,0.12044310171198389,-0.03226771073283893,-0.2021079150578491
