column,category,count,rate,target_rate,target_rate_lift
NAME_CONTRACT_TYPE,Cash loans,278232,0.9047871458256778,0.08345912763449208,1.0338207370799715
NAME_CONTRACT_TYPE,Revolving loans,29279,0.09521285417432222,0.05478329177909082,0.6786088555198387
CODE_GENDER,F,202448,0.6583439291602576,0.06999328222555916,0.8670172894446696
CODE_GENDER,M,105059,0.34164306317497584,0.1014192025433328,1.256294879891352
CODE_GENDER,__MISSING__,4,1.3007664766463638e-05,0.0,0.0
FLAG_OWN_CAR,N,202924,0.6598918412674668,0.08500226685852831,1.0529358341966928
FLAG_OWN_CAR,Y,104587,0.34010815873253314,0.07243730100299273,0.8972917167666182
FLAG_OWN_REALTY,Y,213312,0.6936727466659729,0.07961577407740775,0.986212539871812
FLAG_OWN_REALTY,N,94199,0.30632725333402705,0.08324929139375152,1.0312214640799164
NAME_TYPE_SUITE,Unaccompanied,248526,0.8081857234375356,0.08183047246565751,1.0136463411233356
NAME_TYPE_SUITE,Family,40149,0.13056118317718715,0.07494582679518792,0.9283652021597194
NAME_TYPE_SUITE,"Spouse, partner",11370,0.03697428709867289,0.07871591908531222,0.9750659010611661
NAME_TYPE_SUITE,Children,3267,0.010624010198009176,0.07376798285889195,0.9137750725849234
NAME_TYPE_SUITE,Other_B,1770,0.0057558916591601604,0.09830508474576272,1.2177198354583783
NAME_TYPE_SUITE,__MISSING__,1292,0.004201475719567756,0.05417956656346749,0.6711304206847313
NAME_TYPE_SUITE,Other_A,866,0.002816159421939378,0.08775981524249422,1.0870939997999856
NAME_TYPE_SUITE,Group of people,271,0.0008812692879279115,0.08487084870848709,1.0513079378527925
NAME_INCOME_TYPE,Working,158774,0.5163197414076245,0.09588471664126369,1.1877383725708617
NAME_INCOME_TYPE,Commercial associate,71617,0.2328924818949566,0.07484256531270508,0.9270860866817826
NAME_INCOME_TYPE,Pensioner,55362,0.18003258420024,0.053863660994906255,0.6672172510052212
NAME_INCOME_TYPE,State servant,21703,0.07057633710664009,0.05754964751416855,0.7128761191028997
NAME_INCOME_TYPE,Unemployed,22,7.154215621555002e-05,0.36363636363636365,4.50441820012817
NAME_INCOME_TYPE,Student,18,5.8534491449086374e-05,0.0,0.0
NAME_INCOME_TYPE,Businessman,10,3.2519161916159095e-05,0.0,0.0
NAME_INCOME_TYPE,Maternity leave,5,1.6259580958079547e-05,0.4,4.954860020140988
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,0.7101892290031901,0.08939928843221562,1.1074024002045944
NAME_EDUCATION_TYPE,Higher education,74863,0.24344820185294186,0.05355115344028425,0.6633461730342498
NAME_EDUCATION_TYPE,Incomplete higher,10277,0.0334199427012367,0.08484966429891992,1.0510455233927558
NAME_EDUCATION_TYPE,Lower secondary,3816,0.012409312187206312,0.10927672955974843,1.3536272460683907
NAME_EDUCATION_TYPE,Academic degree,164,0.0005333142554250092,0.018292682926829267,0.22659420823815488
NAME_FAMILY_STATUS,Married,196432,0.6387804013514964,0.07559868045939562,0.9364521984591826
NAME_FAMILY_STATUS,Single / not married,45444,0.14778007941179339,0.0980767538068832,1.2148914658573398
NAME_FAMILY_STATUS,Civil marriage,29775,0.0968258046053637,0.09944584382871537,1.2318505893902152
NAME_FAMILY_STATUS,Separated,19770,0.06429038310824653,0.0819423368740516,1.0150320223354072
NAME_FAMILY_STATUS,Widow,16088,0.05231682769071676,0.058242168075584286,0.7214544752101107
NAME_FAMILY_STATUS,Unknown,2,6.503832383231819e-06,0.0,0.0
NAME_HOUSING_TYPE,House / apartment,272868,0.8873438673738501,0.07795710746588094,0.9656663876713198
NAME_HOUSING_TYPE,With parents,14840,0.0482584362835801,0.1169811320754717,1.449062836078968
NAME_HOUSING_TYPE,Municipal apartment,11183,0.03636617877084072,0.08539747831530001,1.0578313778133421
NAME_HOUSING_TYPE,Rented apartment,4881,0.015872602931277256,0.12313050604384347,1.5252360541409204
NAME_HOUSING_TYPE,Office apartment,2617,0.008510264673458836,0.06572411157814291,0.8141344320445641
NAME_HOUSING_TYPE,Co-op apartment,1122,0.0036486499669930506,0.07932263814616755,0.9825814211063899
OCCUPATION_TYPE,__MISSING__,96391,0.31345545362604915,0.06513056198192778,0.8067820441339212
OCCUPATION_TYPE,Laborers,55186,0.1794602469505156,0.10578769977892943,1.3104081106432375
OCCUPATION_TYPE,Sales staff,32102,0.10439301358325394,0.0963179864182917,1.1931053503111904
OCCUPATION_TYPE,Core staff,27570,0.08965532940285063,0.06303953572723975,0.7808801881578741
OCCUPATION_TYPE,Managers,21371,0.0694967009310236,0.06214028356183613,0.7697410166519151
OCCUPATION_TYPE,Drivers,18603,0.06049539691263077,0.11326130194054722,1.4029847420358355
OCCUPATION_TYPE,High skill tech staff,11380,0.037006806260589054,0.06159929701230228,0.7630397350876168
OCCUPATION_TYPE,Accountants,9813,0.031911053588326924,0.04830327117089575,0.5983398679167502
OCCUPATION_TYPE,Medicine staff,8537,0.02776160852782502,0.06700245988052009,0.8299695242827236
OCCUPATION_TYPE,Security staff,6721,0.02185612872385053,0.10742449040321381,1.330683281707258
OCCUPATION_TYPE,Cooking staff,5946,0.019335893675348197,0.10443995963673057,1.2937134512729367
OCCUPATION_TYPE,Cleaning staff,4653,0.015131166039588828,0.09606705351386202,1.1899970067714492
OCCUPATION_TYPE,Private service staff,2652,0.008624081740165393,0.06598793363499246,0.8174024354493521
OCCUPATION_TYPE,Low-skill Laborers,2093,0.006806260589052099,0.17152412804586717,2.1246951113600265
OCCUPATION_TYPE,Waiters/barmen staff,1348,0.0043835830262982465,0.11275964391691394,1.3967706288231267
OCCUPATION_TYPE,Secretaries,1305,0.004243750630058762,0.07049808429118774,0.8732703483773387
OCCUPATION_TYPE,Realty agents,751,0.0024421890599035483,0.07856191744340879,0.9731582596149077
OCCUPATION_TYPE,HR staff,563,0.001830828815879757,0.06394316163410302,0.7920735378555752
OCCUPATION_TYPE,IT staff,526,0.0017105079167899686,0.06463878326996197,0.8006903074372317
WEEKDAY_APPR_PROCESS_START,TUESDAY,53901,0.17528153464428914,0.08350494424964286,1.0343882743666435
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,51934,0.16888501549538065,0.0816035737667039,1.0108357128931675
WEEKDAY_APPR_PROCESS_START,MONDAY,50714,0.16491767774160923,0.07757226801277754,0.9608993236204324
WEEKDAY_APPR_PROCESS_START,THURSDAY,50591,0.1645176920500405,0.08100254986064714,1.0033907395849935
WEEKDAY_APPR_PROCESS_START,FRIDAY,50338,0.16369495725356167,0.08146926775000993,1.0091720441117142
WEEKDAY_APPR_PROCESS_START,SATURDAY,33852,0.11008386691858177,0.07887274016306274,0.9770084672823197
WEEKDAY_APPR_PROCESS_START,SUNDAY,16181,0.052619255896537036,0.07929052592546815,0.9821836422101364
ORGANIZATION_TYPE,Business Entity Type 3,67992,0.22110428570034893,0.09299623485115896,1.1519583152191235
ORGANIZATION_TYPE,XNA,55374,0.18007160719453938,0.05399646043269404,0.668862257567701
ORGANIZATION_TYPE,Self-employed,38412,0.12491260475235032,0.10173903988336978,1.2602567530140958
ORGANIZATION_TYPE,Other,16683,0.05425171782472822,0.0764251033986693,0.946689223413019
ORGANIZATION_TYPE,Medicine,11193,0.03639869793275688,0.06584472438130974,0.8156284809353853
ORGANIZATION_TYPE,Business Entity Type 2,10553,0.034317471570122694,0.08528380555292334,1.0564232962491444
ORGANIZATION_TYPE,Government,10404,0.03383293605757193,0.06978085351787774,0.8643859031676174
ORGANIZATION_TYPE,School,8893,0.028919290692040286,0.05914764421455077,0.7326707440105025
ORGANIZATION_TYPE,Trade: type 7,7831,0.02546575569654419,0.09449623292044439,1.1705390163786011
ORGANIZATION_TYPE,Kindergarten,6880,0.02237318339831746,0.07034883720930232,0.8714216023794468
ORGANIZATION_TYPE,Construction,6721,0.02185612872385053,0.11679809552149978,1.4467955348202184
ORGANIZATION_TYPE,Business Entity Type 1,5984,0.019459466490629605,0.0813836898395722,1.0081119776941263
ORGANIZATION_TYPE,Transport: type 4,5398,0.01755384360234268,0.0928121526491293,1.149678061360983
ORGANIZATION_TYPE,Trade: type 3,3492,0.011355691341122756,0.1033791523482245,1.2805730722157047
ORGANIZATION_TYPE,Industry: type 9,3368,0.010952453733362384,0.06680522565320665,0.8275263543139267
ORGANIZATION_TYPE,Industry: type 3,3278,0.010659781276116952,0.10616229408175717,1.3150482664803718
ORGANIZATION_TYPE,Security,3247,0.010558971874176858,0.09978441638435478,1.236044538439852
ORGANIZATION_TYPE,Housing,2958,0.009619168094799862,0.07944557133198107,0.9841042129252299
ORGANIZATION_TYPE,Industry: type 11,2704,0.008793181382129419,0.08653846153846154,1.071964908203579
ORGANIZATION_TYPE,Military,2634,0.008565547248716306,0.05125284738041002,0.6348767110089533
FONDKAPREMONT_MODE,__MISSING__,210295,0.6838617155158677,0.0861884495589529,1.0676292572939845
FONDKAPREMONT_MODE,reg oper account,73830,0.2400889724270026,0.06978193146417445,0.864399255850141
FONDKAPREMONT_MODE,reg oper spec account,12080,0.03928314759472019,0.06556291390728476,0.8121376523078769
FONDKAPREMONT_MODE,not specified,5687,0.01849364738171968,0.07543520309477757,0.9344271798138225
