column,category,count,rate,is_rare,rare_threshold_count
NAME_CONTRACT_TYPE,Cash loans,278232,0.9047871458256778,False,307
NAME_CONTRACT_TYPE,Revolving loans,29279,0.09521285417432222,False,307
CODE_GENDER,F,202448,0.6583439291602576,False,307
CODE_GENDER,M,105059,0.34164306317497584,False,307
CODE_GENDER,__MISSING__,4,1.3007664766463638e-05,True,307
FLAG_OWN_CAR,N,202924,0.6598918412674668,False,307
FLAG_OWN_CAR,Y,104587,0.34010815873253314,False,307
FLAG_OWN_REALTY,Y,213312,0.6936727466659729,False,307
FLAG_OWN_REALTY,N,94199,0.30632725333402705,False,307
NAME_TYPE_SUITE,Unaccompanied,248526,0.8081857234375356,False,307
NAME_TYPE_SUITE,Family,40149,0.13056118317718715,False,307
NAME_TYPE_SUITE,"Spouse, partner",11370,0.03697428709867289,False,307
NAME_TYPE_SUITE,Children,3267,0.010624010198009176,False,307
NAME_TYPE_SUITE,Other_B,1770,0.0057558916591601604,False,307
NAME_TYPE_SUITE,__MISSING__,1292,0.004201475719567756,False,307
NAME_TYPE_SUITE,Other_A,866,0.002816159421939378,False,307
NAME_TYPE_SUITE,Group of people,271,0.0008812692879279115,True,307
NAME_INCOME_TYPE,Working,158774,0.5163197414076245,False,307
NAME_INCOME_TYPE,Commercial associate,71617,0.2328924818949566,False,307
NAME_INCOME_TYPE,Pensioner,55362,0.18003258420024,False,307
NAME_INCOME_TYPE,State servant,21703,0.07057633710664009,False,307
NAME_INCOME_TYPE,Unemployed,22,7.154215621555002e-05,True,307
NAME_INCOME_TYPE,Student,18,5.8534491449086374e-05,True,307
NAME_INCOME_TYPE,Businessman,10,3.2519161916159095e-05,True,307
NAME_INCOME_TYPE,Maternity leave,5,1.6259580958079547e-05,True,307
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,0.7101892290031901,False,307
NAME_EDUCATION_TYPE,Higher education,74863,0.24344820185294186,False,307
NAME_EDUCATION_TYPE,Incomplete higher,10277,0.0334199427012367,False,307
NAME_EDUCATION_TYPE,Lower secondary,3816,0.012409312187206312,False,307
NAME_EDUCATION_TYPE,Academic degree,164,0.0005333142554250092,True,307
NAME_FAMILY_STATUS,Married,196432,0.6387804013514964,False,307
NAME_FAMILY_STATUS,Single / not married,45444,0.14778007941179339,False,307
NAME_FAMILY_STATUS,Civil marriage,29775,0.0968258046053637,False,307
NAME_FAMILY_STATUS,Separated,19770,0.06429038310824653,False,307
NAME_FAMILY_STATUS,Widow,16088,0.05231682769071676,False,307
NAME_FAMILY_STATUS,Unknown,2,6.503832383231819e-06,True,307
NAME_HOUSING_TYPE,House / apartment,272868,0.8873438673738501,False,307
NAME_HOUSING_TYPE,With parents,14840,0.0482584362835801,False,307
NAME_HOUSING_TYPE,Municipal apartment,11183,0.03636617877084072,False,307
NAME_HOUSING_TYPE,Rented apartment,4881,0.015872602931277256,False,307
NAME_HOUSING_TYPE,Office apartment,2617,0.008510264673458836,False,307
NAME_HOUSING_TYPE,Co-op apartment,1122,0.0036486499669930506,False,307
OCCUPATION_TYPE,__MISSING__,96391,0.31345545362604915,False,307
OCCUPATION_TYPE,Laborers,55186,0.1794602469505156,False,307
OCCUPATION_TYPE,Sales staff,32102,0.10439301358325394,False,307
OCCUPATION_TYPE,Core staff,27570,0.08965532940285063,False,307
OCCUPATION_TYPE,Managers,21371,0.0694967009310236,False,307
OCCUPATION_TYPE,Drivers,18603,0.06049539691263077,False,307
OCCUPATION_TYPE,High skill tech staff,11380,0.037006806260589054,False,307
OCCUPATION_TYPE,Accountants,9813,0.031911053588326924,False,307
OCCUPATION_TYPE,Medicine staff,8537,0.02776160852782502,False,307
OCCUPATION_TYPE,Security staff,6721,0.02185612872385053,False,307
OCCUPATION_TYPE,Cooking staff,5946,0.019335893675348197,False,307
OCCUPATION_TYPE,Cleaning staff,4653,0.015131166039588828,False,307
OCCUPATION_TYPE,Private service staff,2652,0.008624081740165393,False,307
OCCUPATION_TYPE,Low-skill Laborers,2093,0.006806260589052099,False,307
OCCUPATION_TYPE,Waiters/barmen staff,1348,0.0043835830262982465,False,307
OCCUPATION_TYPE,Secretaries,1305,0.004243750630058762,False,307
OCCUPATION_TYPE,Realty agents,751,0.0024421890599035483,False,307
OCCUPATION_TYPE,HR staff,563,0.001830828815879757,False,307
OCCUPATION_TYPE,IT staff,526,0.0017105079167899686,False,307
